company_name,website,email,contact,country,product_focus,exporter_from_india,source_batch,notes
Dutch organic,https://dutchorganics.nl/en/contact/,info@dutchorganics.nl,+31 11 87 267 57,Netherlands,Organic food and agro,JIYA ORGANIC INC,2024,""
Korf Food Products B.V.,https://www.kfp.nl/contact,info@kfp.nl,"+31-342-470520",Netherlands,Food products and dehydrated ingredients,RK IND EXPORT PRO LIMITED,2024,""
RAMON SABATER S A U,https://sabaterglobal.com/na-en/company/,,,Spain,Spices and ingredients,VIRAL CORPORATION,2024,Missing email and contact
AGGARWAL,https://aggarwal.ch/products,info@aggarwal.ch,+41 62 919 27 27,Switzerland,Ethnic foods and spices,SAMRUDDHI ORGANIC FARM INDIA PRIVATE LIMITED,2024,""
CHAUDHARY FOOD TRADER GMBH,https://www.cft-berlin.de/,,+49 (0)30 217 2347,Germany,Food trading,SAMI SPICES AND HERBS PRIVATE LIMITED,2024,Missing email
Euroma,https://www.euroma.com/contact,info@euroma.com,+31 (0)38 447 31 73,Netherlands,Spices and seasonings,ITC LIMITED,2024,""
HINDUSTANI FOODS MARBELLA,https://hindustanifoods.com/contactar/,sales@hfmarbella.com,"wa.me/34697435706; +34 965710731",Spain,Ethnic food imports,NIMA ENTERPRISES PRIVATE LIMITED,2024,""
KAINTH C O,,,+31 641309272,Netherlands,Agro imports,JSM FOODS,2024,Missing website and email
LANGDON AND CO UK LIMITED,https://www.hjlangdon.com/supplier/,,"Australia: +61 (3) 8360 2600; New Zealand: +64 (9) 965 5185; United Kingdom: +44 (0) 203 955 7900; Ireland: +44 (0) 203 955 7900",United Kingdom,Global ingredient sourcing,AVT MCCORMICK INGREDIENTS PRIVATE LIMITED,2024,Regional contacts provided
VERSTEGEN SPICES AND SAUCES BV,https://verstegen.nl/pages/contact,info@verstegen.nl,+31 (0)10 245 5100,Netherlands,Spices and sauces,GENERAL COMMODITIES PRIVATE LIMITED,2023,""
Sievajet Import & Export B.V.,,,+31 6 25217498,Netherlands,Import and export,DE MOLEN EXPORTS PRIVATE LIMITED,2023,Missing website and email
KRG ASIAN FOODS,https://krgasianfood.com/contact-us/,info@krgasianfood.com,+31 (10) 4156793,Netherlands,Asian foods,NIMA ENTERPRISES PRIVATE LIMITED,2023,""
RAS4ALL,https://ras4all.eu/contact-us/,hello@ras4all.eu,+31-10890-0016 Ext 100,Netherlands,Spices and condiments,VISNUKUMAR TRADERS PRIVATE LIMITED,2023,""
EURO SPICE,,,+31 615200566,Netherlands,Spice trading,FLAVOURNEST PRIVATE LIMITED,2023,Missing website and email
SPICE TOWN,https://spicetown.fi/contact-us/,info@spicetown.fi,+358-45 186 1100,Finland,Spice trading,NIMA ENTERPRISES PRIVATE LIMITED,2023,""
AWAMI CASH & CARRY,https://www.awami.online/,,+34 936273674,Spain,Cash and carry food wholesale,,2022,Missing exporter mapping and email
CHAI N MASALA,https://www.chainmasala.online/contact-us,info@chainmasala.com,+31 624877703,Netherlands,Tea and spice retail,CNM EXPORTS LLP,2022,""
HOTTENTOT SPICES B V,https://hottentotspices.com/contact/,info@hottentotspices.com,+31 6 27382604,Netherlands,Spice imports,ITC LIMITED,2022,""
Rice n spice,http://www.ricenspice.net/wizmailer.cgi,info@ricenspice.net,+44 (0)208 5519894,United Kingdom,Rice and spices,UVR NATURAL FOODS PRIVATE LIMITED,2022,""
POPAT STORE LDA,https://popatstore.pt/contacte-nos,online@popatstore.pt,"+351 215 985 989; +351 915 989 808",Portugal,Cash and carry ethnic foods,SHREE BHAGWATI FLOUR AND FOODS PRIVATE LIMITED,2025 Coriander Seed,""
Unidex,http://www.unidexholland.com,,+31 (0)252 421 280,Netherlands,Agro imports,DE MOLEN EXPORTS PRIVATE LIMITED,2025 Coriander Seed,Missing email
Smart elite,https://www.smartelite-dienstleistungen.com/,info@smartelite-dienstleistungen.de,+49 176 8466 6658,Germany,Trading services,RA INDIA,2025 Coriander Seed,""
GreenStore,https://www.greenstore.de/kontakt,info@greenstore.de,+49 6104 8084 272,Germany,Organic and grocery imports,NIMA ENTERPRISES PRIVATE LIMITED,2025 Coriander Seed,""
Fox Online BV,https://www.foxonlinebv.com/en/spices/,info@foxonlinebv.com,+31 627444604,Netherlands,Spices,MIL OVERSEAS EXPORT PRIVATE LIMITED,2025 Sesame Seed,Potential duplicate of Fox Retail BV
Culinary Taste Carrier Systems,http://www.ctcs.de,"info@ctcs.de; CONTACT PERSON: RONALD","+49 2157 8758315",Germany,Dehydrated onion and spice ingredients,ALPHA FOOD INGREDIENTS PRIVATE LIMITED,2025 Dehy Onion and Spice,Combined contact text was normalized
Smart elite store,https://www.smartelite-dienstleistungen.com/,info@smartelite-dienstleistungen.de,+49 176 8466 6658,Germany,Trading services,RA INDIA,2025 Dehy Onion and Spice,Potential duplicate of Smart elite
